Ticker,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004
JNJ,139.23,115.65,100.48,104.52,91.03,70.84,65.48,62.82,64.68,60.65,65.91,67.23,62.58,62.9,51.66
JPM,107.95,86.91,63.62,62.49,58.21,44.66,34.95,43.58,42.85,31.35,42.17,48.19,39.62,39.15,36.62
KSU,107.16,81.18,73.72,120.42,120,86.14,70.25,48.62,33.65,20.39,33.47,28.37,24.77,17.25,14.62
LDOS,64,51.35,54.13,43.14,46.25,46.25,46.25,46.25,46.25,46.25,46.25,46.25,46.25,46.25,46.25
LEG,47.86,49.98,41.02,42.16,30.66,27.75,23.34,23.14,20.51,15.68,16.96,23.54,24.22,27.72,21.5
LEN,64.84,43.12,45.79,43.42,38.65,39.1,19.81,18.68,12.75,9,16.86,49.11,60.86,54.9,45.98
LH,162.3,130.1,122.89,111.42,90.23,87.58,86.52,89.59,76.37,64.93,75.01,73.75,54.74,48.7,37.43
LKQ,41.35,31.24,28.84,27.78,32.4,22.25,15.48,11.57,9.85,6.19,10.51,5.56,4.75,2.48,2.22
LMT,318.54,253.99,213.21,193.31,146.07,93.27,80.91,69.87,76.85,85.55,105.35,91.69,64.48,54.21,50.7
LNC,77.91,67.76,49.1,57.42,50.53,27.41,19.93,29.28,25.88,19.95,56.25,65.96,53.9,46.11,40.17
LOW,91.62,71.81,75.28,67.7,49.44,36.19,26.47,25.16,23.16,22.64,22.18,32.18,33.12,28.98,26.95
LUV,66.29,51.3,41.96,42.69,18.88,10.47,8.6,13.24,11.18,8.97,11.8,15.76,16.94,16.07,15.94
LVS,69.1,54.98,43.4,56.3,79.58,48.75,43.76,45.59,16.62,7.09,100.32,92.11,40.09,48.51,48.51
M,26.31,35.84,35.79,65.69,53.39,38.31,32.65,25.44,17.06,10.98,24.99,37.31,34.53,28.77,23.07
MAR,133.75,82.34,65.38,77.75,48.96,38.79,30.47,39.58,26.04,18.7,30.79,43.04,31.81,29.15,21.51
MCHP,90.41,63.82,45.98,44.87,44.17,33.75,35.82,34.79,29.18,19.57,30.46,33.72,32.32,26,33.62
MDT,82.21,71.27,75.77,71.88,57.24,41.88,38.31,37.41,43.9,32.61,49.5,53.2,58.37,49.43,48.42
MGM,33.51,29.46,22.25,21.02,23.72,12.27,11.04,15.38,9.73,15.44,81.6,57.1,35.98,35.84,18.61
MHK,276,205.88,186.45,154.57,149.11,93.17,59.48,57.79,48.31,44.1,74.21,77.14,90.14,89.8,71.1
MMC,80.4,68.29,54.32,56.97,47.72,35.52,31.46,27.46,21.87,24.94,26.98,31.63,31.9,32.9,48.01
MMM,235.64,178.32,146.82,164.06,138.13,94.78,84.18,86.79,83.02,59.19,82.71,77.95,78.71,82.4,83.37
MSFT,85.95,62.3,54.8,46.76,37.16,27.62,27.4,27.98,30.95,20.33,35.22,29.81,26.97,26.74,27.45
MU,43.67,22.36,14.33,34.75,21.66,6.63,6.99,8.28,10.38,2.84,7.04,13.79,14.05,12,13.74
NKE,63.49,53.07,61.52,47.52,39.12,25.92,24.56,21.52,16.34,13.27,15.82,12.33,10.69,11.34,8.45
